date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:56:46	293/293	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2016:56:46%20GMT	http://localhost/robots.txt		(from )
18:56:53	124697/124697	---MC-	200	added ('OK')	text/html	date:Sun,%2022%20Apr%202018%2016:56:46%20GMT	http://localhost/drch/	C:/My%20Web%20Sites/DrEiliewa/localhost/drch/index.html	(from )
18:56:53	1683/1683	---M--	200	added ('OK')	text/css	etag:%22693-56a608aba48e7%22	http://localhost/drch/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.1	C:/My%20Web%20Sites/DrEiliewa/localhost/drch/wp-content/plugins/contact-form-7/includes/css/styles972f.css	(from http://localhost/drch/)
18:56:53	177/177	---M--	200	added ('OK')	text/css	etag:%22b1-56a608aba3560%22	http://localhost/drch/wp-content/plugins/contact-form-7/includes/css/styles-rtl.css?ver=5.0.1	C:/My%20Web%20Sites/DrEiliewa/localhost/drch/wp-content/plugins/contact-form-7/includes/css/styles-rtl972f.css	(from http://localhost/drch/)
18:56:53	4653/4653	---M--	200	added ('OK')	text/css	etag:%22122d-56a72b19803b7%22	http://localhost/drch/wp-content/plugins/news-ticker-tj/css/breakingNews.css?ver=1.0.1	C:/My%20Web%20Sites/DrEiliewa/localhost/drch/wp-content/plugins/news-ticker-tj/css/breakingNewsf269.css	(from http://localhost/drch/)
18:56:58	59282/59282	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Apr%202018%2016:56:53%20GMT	http://localhost/drch/wp-content/plugins/fonts.googleapis.com/css?family=PT+Sans%3A400%2C700&subset=latin-ext&ver=1.0.2	C:/My%20Web%20Sites/DrEiliewa/localhost/drch/wp-content/plugins/fonts.googleapis.com/cssddd3	(from http://localhost/drch/)
18:56:58	529/529	---M--	200	added ('OK')	text/css	etag:%22211-56a608b29e4e9%22	http://localhost/drch/wp-content/plugins/recent-tweets-widget/tp_twitter_plugin.css?ver=1.0	C:/My%20Web%20Sites/DrEiliewa/localhost/drch/wp-content/plugins/recent-tweets-widget/tp_twitter_plugin5152.css	(from http://localhost/drch/)
18:56:58	119966/119966	---M--	200	added ('OK')	text/css	etag:%221d49e-56a607ba83866%22	http://localhost/drch/wp-content/themes/shahbaTheme/css/bootstrap.css?ver=1	C:/My%20Web%20Sites/DrEiliewa/localhost/drch/wp-content/themes/shahbaTheme/css/bootstrap68b3.css	(from http://localhost/drch/)
18:56:59	20766/20766	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.min.css?ver=1	C:/My%20Web%20Sites/DrEiliewa/maxcdn.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.min68b3.css	(from http://localhost/drch/)
18:56:59	18506/18506	---M--	200	added ('OK')	text/css	etag:%22484a-56a64b1c01129%22	http://localhost/drch/wp-content/themes/shahbaTheme/css/style.css?ver=1	C:/My%20Web%20Sites/DrEiliewa/localhost/drch/wp-content/themes/shahbaTheme/css/style68b3.css	(from http://localhost/drch/)
18:57:00	518/518	---M--	200	added ('OK')	text/css	etag:%22206-56a607ba88699%22	http://localhost/drch/wp-content/themes/shahbaTheme/css/comment.css?ver=1	C:/My%20Web%20Sites/DrEiliewa/localhost/drch/wp-content/themes/shahbaTheme/css/comment68b3.css	(from http://localhost/drch/)
18:57:00	1354/1354	---M--	200	added ('OK')	text/css	etag:%2254a-56a607ba89df7%22	http://localhost/drch/wp-content/themes/shahbaTheme/css/fonts.css?ver=1	C:/My%20Web%20Sites/DrEiliewa/localhost/drch/wp-content/themes/shahbaTheme/css/fonts68b3.css	(from http://localhost/drch/)
18:57:02	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5333e48ec7c00%22	http://localhost/drch/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/DrEiliewa/localhost/drch/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/drch/)
18:57:03	818/818	---M--	200	added ('OK')	text/xml	date:Sun,%2022%20Apr%202018%2016:57:01%20GMT	http://localhost/drch/xmlrpc.php?rsd	C:/My%20Web%20Sites/DrEiliewa/localhost/drch/xmlrpc0db0.php	(from http://localhost/drch/)
18:57:04	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed45d8c29600%22	http://localhost/drch/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/DrEiliewa/localhost/drch/wp-includes/wlwmanifest.xml	(from http://localhost/drch/)
18:57:04	29110/29110	---M--	200	added ('OK')	application/javascript	etag:%2271b6-56a607c7f36b3%22	http://localhost/drch/wp-content/themes/shahbaTheme/js/bootstrap.min.js?ver=4.9.5	C:/My%20Web%20Sites/DrEiliewa/localhost/drch/wp-content/themes/shahbaTheme/js/bootstrap.min55fe.js	(from http://localhost/drch/)
18:57:04	3559/3559	---M--	200	added ('OK')	text/css	etag:%22de7-56a607c80a1ff%22	http://localhost/drch/wp-content/themes/shahbaTheme/rtl.css	C:/My%20Web%20Sites/DrEiliewa/localhost/drch/wp-content/themes/shahbaTheme/rtl.css	(from http://localhost/drch/)
18:57:05	3124/3124	---M--	200	added ('OK')	image/png	etag:%22c34-56a607bb1e52d%22	http://localhost/drch/wp-content/themes/shahbaTheme//img/top_banner.png	C:/My%20Web%20Sites/DrEiliewa/localhost/drch/wp-content/themes/shahbaTheme/img/top_banner.png	(from http://localhost/drch/)
18:57:08	20723/20723	---M--	200	added ('OK')	image/png	etag:%2250f3-56a5fc3c572bb%22	http://localhost/drch/wp-content/uploads/2018/04/LogoSite.png	C:/My%20Web%20Sites/DrEiliewa/localhost/drch/wp-content/uploads/2018/04/LogoSite.png	(from http://localhost/drch/)
18:57:08	21064/21064	---M--	200	added ('OK')	image/jpeg	etag:%225248-56a5fc3be5a38%22	http://localhost/drch/wp-content/uploads/2018/04/8221-8221-27-1-2013-L_SHgqHhw84.jpg	C:/My%20Web%20Sites/DrEiliewa/localhost/drch/wp-content/uploads/2018/04/8221-8221-27-1-2013-L_SHgqHhw84.jpg	(from http://localhost/drch/)
18:57:12	19191/19191	---M--	200	added ('OK')	image/jpeg	etag:%224af7-56a5fc3b8bca6%22	http://localhost/drch/wp-content/uploads/2018/04/t3Eh91fLdiU.jpg	C:/My%20Web%20Sites/DrEiliewa/localhost/drch/wp-content/uploads/2018/04/t3Eh91fLdiU.jpg	(from http://localhost/drch/)
